Questions,Answers
About Us,"In an effort to offer parents the best available information on safety in games, we have partnered with Internet Matters. Go visit ourpartner pagefor a vast selection of informative resources on anything related to online safety. Since you’re here, most likely you, or someone you care about, have picked up one of our games in the name of fun. Thank you! We hope you enjoy them as much as we do making them. So; you probably have questions about keeping you, or your children safe while connected to our games through your mobile device. Things like age limits, in-app purchases, and privacy are all very valid concerns, and we’re here to make sure that you get the support you need. To make sure you can enjoy Supercell games in a safe and controlled environment, we stick to a clear set of principles that’ve served our gamers and us well: We respect our gamers, and we put all our might into making the most fun games for them to enjoy. We’ll never sacrifice game quality for any other short-term considerations. We want you to be in total control of your experience with Supercell games. That means that before you or your child download our games, you should be given upfront information about the game’s content. This means that it should be totally clear when you’re about to make any purchases within a game. If you or your child ever has any problems with our games, you should be able to quickly find out how to fix it. As well as providing guides like this, that means helping you to contact the right company for your issue, whether it’s to do with payments (which will usually be Google or Apple, who process purchases and refunds) or the game itself (which will usually be us). Read on as we try to cover what might be your most likely questions. If we’ve missed anything, email us atparents@supercell.com. In your email, be sure to include any specific details that might be useful, like what happened and when, possible transaction ID receipts, relevant screenshots, etc."
WHERE ARE SUPERCELL GAMES AVAILABLE?,"Our games are globally available for free on iOS or Android phones and tablets. To start playing one of our games, the game's app has to be downloaded to the device via the Play Store (Android) or App Store (Apple). So far, we've launched five games globally:Hay Day,Clash of Clans,Boom Beach,Clash RoyaleandBrawl Stars."
WHAT ARE THE AGE LIMITS FOR SUPERCELL GAMES?,"Our games do not have general age limits. However, users of our games should observe that, under our Terms of Service, users under the legal age of majority in the country of their residence require their legal guardian’s approval of our Terms of Service before registering their account. Please note: When you download our games from e.g. Google Play or Apple's App Store you will find published age recommendations in the apps description. However, these age or maturity classifications refer only to the content suitability (similar to movie ratings G, PG or PG-13 in the U.S., but related to gameplay, animations, etc.) according to the respective rating body responsible for such ratings. As these ratings are done independently by a third party without our contribution, they are not necessarily in line with ourTerms of Service. For more info on how these categories are defined, visit these support websites forAppleandGoogle."
PRIVACY AND PROCESSING OF PERSONAL DATA,"USERNAMEOur players are asked to set up a username during the game's tutorial. We recommend that our players choose a nickname not directly identifiable to the players real-life person to increase security and privacy. You are able to change the username through the in-game settings (open the game, tap on the gear-wheel icon and look for ""change name""). PAYMENT INFORMATIONWe do not store any credit card information related to in-game purchases as the payment transactions are completed through Apple's App Store or Google Play (depending on your device) via the personal email address associated with that account. MARKETINGWhen contacting our support through the in-game chat, you'll have the option to share your email address with us. We'll always ask for your consent when sending direct marketing messages to your mobile device. We won't sell or disclose your personal data to third parties for their own commercial purposes. Please find out more about our privacy and data processing practices from ourPrivacy Policy."
HOW DOES CHAT WORK IN SUPERCELL GAMES?,"All Supercell games have an in-game chat functionality. Many of our players enjoy interacting with one another through chat in our games, and we work hard to maintain a safe and secure environment for that. TEAM CHATIn all our games, players can talk to other players by joining a team (called Task Force, Clan, Band or Neighbourhood, depending on the game). Once you join a team, you have access to the team chat functionality and can talk to the members of your team. Teams can be closed, invite-only or open to everyone. GLOBAL CHATIn Clash of Clans, users have access to a public chat room with other players from around the world. This is called global chat or just ""global"". Although Supercell Chat only allows text messaging, it is still worth reminding young people about their own digital footprint. Once shared, messages can be copied, re-shared and posted anywhere online. SAFETY FEATURESWe display regular warnings against sharing personal information. If issues arise, our games contain easy to access tools for players to report any offensive, insulting or inappropriate behaviour to us. In global chat users have the option to mute players whose messages they do not want to see. This means that they will not see messages posted in chat by this user. All team chats also have a profanity filter. It's a good idea to advise your child that if they are chatting with someone they don't know and are uncomfortable with, they should exit the team/game and speak to you about it. Users can leave a team whenever they want to. Furthermore a report functionality is directly accessible from within the chat. Read more about that in the next section."
HOW TO REPORT AN ISSUE?,"If you or your child come across a user that is not following Supercell's Safe and Fair Play Policy, report them to us in a few simple steps. Open the game's chat Find the message / player you wish to report Tap the message and choose ""Report"" The reporter's identity is not shared with the person being reported. Using the Report button does not automatically end up in a ban for the reported user. However, every report is manually reviewed by our moderators and taken seriously. Due to the amount of reports we receive, it may take up to 48h until a report is reviewed. If you need to report any concerns by email, reach us atparents@supercell.com- including specific details about the player in question (e.g. screenshots of the conversation and or player profile), to help us quickly understand and identify the issue."
ARE SUPERCELL GAMES FREE TO PLAY?,"All Supercell games are free to download, offering optional ""in-app purchases"". In-app purchases are never required to play the game, but can be used to enhance certain gameplay elements. In-app purchases vary in price, ranging from $0.99 to $99.99 (without taxes) in U.S. app stores, for example. In-app purchases are paid for with real money, and are always clearly labeled as such. They are accessible ""in game"", meaning that the options to make a purchase are found within the game itself."
CAN I MANAGE OR TURN OFF IN-APP PURCHASES?,"As long as no payment information (e.g. credit card information) is added to your child's device, no purchases can be made. Should you decide to make purchases for your child and for this reason add your payment information to the device, remember to adjust password protection settings, or disable in-app purchases entirely afterwards to avoid unauthorised purchases. In-app purchase settings are different depending on what sort of device you are using. Find the instructions you need linked below: Instructions forApple iOS devices (like iPhone or iPad) Instructions forGoogle Android devices (like Samsung Galaxy, OnePlus, HTC, Nexus, etc)"
WHO PROCESSES IN-APP PURCHASES?,"Supercell does not process payments for in-app purchases, or have access to credit card information. Payment transactions themselves are processed through the App Store or Google Play (depending on your device) via the personal email address associated with that account. Transaction receipts are emailed to you by Apple or Google after each purchase. Sometimes, purchases may be bundled together if you've bought multiple items, and it might take a few days for you to receive the receipt. These post-purchase processes are subject to change by Apple or Google. Supercell doesn't offer any billing programs."
ARE MY BANK DETAILS KEPT PRIVATE?,"We don't process payments for in-app purchases, nor do we have access to any of your payment information. That's because the payment transactions themselves are completed through Apple's App Store or Google Play (depending on your device) via your personal email address associated with that account. Receipts for these transactions are emailed to you by Apple or Google after each purchase (though please note that any post-purchase processes are controlled by Apple or Google and are subject to change by them)."
